REFERENCE_NUMBER,NUMBER_OF_VEHICLES,FULL_DATE,FULL_TIME,ROAD_CLASS,ROAD_SURFACE_CODE,LIGHTING_CODE,WEATHER_CODE,CASUALTY_NUMBER,CASUALTY_CLASS,SEX_OF_CASUALTY,AGE_OF_CASUALTY,CASUALTY_SEVERITY,VEHICLE_1,VEHICLE_2,VEHICLE_3,VEHICLE_4,VEHICLE_5,VEHICLE_6,VEHICLE_7,VEHICLE_8,VEHICLE_9,VEHICLE_10
1411119,1,17/02/2024,2010,6,2,4,1,1,1,2,23,2,9,0,0,0,0,0,0,0,0,0
1411126,3,17/02/2024,2118,6,2,4,2,1,1,1,49,3,9,9,9,0,0,0,0,0,0,0
1411126,3,17/02/2024,2118,6,2,4,2,2,2,1,15,3,9,9,9,0,0,0,0,0,0,0
1411193,1,09/02/2024,1803,6,1,4,1,1,3,2,41,3,9,0,0,0,0,0,0,0,0,0
1411231,2,17/02/2024,1457,6,2,5,1,1,1,1,21,3,9,9,0,0,0,0,0,0,0,0
1411395,2,15/02/2024,1706,6,2,4,1,1,1,2,38,2,9,9,0,0,0,0,0,0,0,0
1411395,2,15/02/2024,1706,6,2,4,1,2,1,2,51,3,9,9,0,0,0,0,0,0,0,0
1411517,2,19/02/2024,854,6,2,1,1,1,1,1,57,3,4,9,0,0,0,0,0,0,0,0
1411783,2,20/02/2024,25,3,1,4,1,1,2,1,47,3,9,9,0,0,0,0,0,0,0,0
1411790,2,19/02/2024,2229,6,1,4,1,1,1,1,40,3,9,9,0,0,0,0,0,0,0,0
1412053,1,20/02/2024,1321,6,1,6,1,1,3,2,79,3,1,0,0,0,0,0,0,0,0,0
1412123,1,19/02/2024,1515,4,1,1,1,1,3,1,49,3,9,0,0,0,0,0,0,0,0,0
1412137,2,20/02/2024,1525,6,2,1,5,1,1,2,45,2,9,9,0,0,0,0,0,0,0,0
1412179,2,20/02/2024,1834,6,1,4,1,1,1,1,56,3,9,1,0,0,0,0,0,0,0,0
1412310,2,20/02/2024,1210,6,1,1,1,1,3,2,32,3,9,9,0,0,0,0,0,0,0,0
1412313,2,19/02/2024,1530,6,1,1,1,1,1,1,42,3,19,1,0,0,0,0,0,0,0,0
1412430,2,23/01/2024,850,6,2,1,2,1,1,2,40,3,9,9,0,0,0,0,0,0,0,0
1412630,2,21/02/2024,900,6,2,1,9,1,1,2,9,3,9,1,0,0,0,0,0,0,0,0
1412660,2,21/02/2024,2226,3,2,4,1,1,2,1,23,3,9,9,0,0,0,0,0,0,0,0
1412660,2,21/02/2024,2226,3,2,4,1,2,1,1,22,3,9,9,0,0,0,0,0,0,0,0
1412660,2,21/02/2024,2226,3,2,4,1,3,2,1,22,3,9,9,0,0,0,0,0,0,0,0
1412660,2,21/02/2024,2226,3,2,4,1,4,2,1,23,3,9,9,0,0,0,0,0,0,0,0
1412911,2,14/02/2024,1830,3,1,4,1,1,1,2,48,3,9,1,0,0,0,0,0,0,0,0
1412977,2,22/02/2024,1511,6,1,1,4,1,1,2,31,3,9,9,0,0,0,0,0,0,0,0
1412977,2,22/02/2024,1511,6,1,1,4,2,1,2,56,3,9,9,0,0,0,0,0,0,0,0
1412996,3,21/02/2024,1700,6,2,4,2,1,1,2,39,3,9,9,9,0,0,0,0,0,0,0
1413028,2,22/02/2024,2050,6,1,4,1,1,1,1,32,3,9,9,0,0,0,0,0,0,0,0
1413028,2,22/02/2024,2050,6,1,4,1,2,1,1,21,3,9,9,0,0,0,0,0,0,0,0
1413291,2,14/02/2024,1250,3,1,1,9,1,1,2,20,3,9,9,0,0,0,0,0,0,0,0
1413344,2,22/02/2024,937,3,1,1,1,1,1,1,44,3,9,9,0,0,0,0,0,0,0,0
1413397,2,23/02/2024,1423,6,1,1,1,1,1,1,16,2,9,97,0,0,0,0,0,0,0,0
1413565,2,23/02/2024,830,3,1,1,1,1,1,2,58,3,9,9,0,0,0,0,0,0,0,0
1413597,2,21/02/2024,1530,6,1,1,1,1,3,1,34,2,1,9,0,0,0,0,0,0,0,0
1413622,2,24/02/2024,815,6,1,1,1,1,1,2,25,3,9,9,0,0,0,0,0,0,0,0
1413696,2,24/02/2024,1021,4,1,1,1,1,2,1,69,3,9,10,0,0,0,0,0,0,0,0
1413696,2,24/02/2024,1021,4,1,1,1,2,2,2,68,3,9,10,0,0,0,0,0,0,0,0
1413696,2,24/02/2024,1021,4,1,1,1,3,2,1,6,3,9,10,0,0,0,0,0,0,0,0
1413719,2,17/02/2024,1715,6,2,4,2,1,1,1,39,3,9,9,0,0,0,0,0,0,0,0
1413719,2,17/02/2024,1715,6,2,4,2,2,1,2,28,3,9,9,0,0,0,0,0,0,0,0
1413735,2,24/02/2024,1930,6,1,4,1,1,1,2,40,2,9,9,0,0,0,0,0,0,0,0
1413812,2,23/02/2024,1442,6,1,1,1,1,1,1,13,3,9,1,0,0,0,0,0,0,0,0
1414005,5,25/02/2024,2053,6,1,4,1,1,2,2,45,3,9,9,9,9,9,0,0,0,0,0
1414005,5,25/02/2024,2053,6,1,4,1,2,2,2,18,3,9,9,9,9,9,0,0,0,0,0
1414005,5,25/02/2024,2053,6,1,4,1,3,2,1,13,3,9,9,9,9,9,0,0,0,0,0
1414005,5,25/02/2024,2053,6,1,4,1,4,2,1,9,3,9,9,9,9,9,0,0,0,0,0
1414005,5,25/02/2024,2053,6,1,4,1,5,1,1,34,3,9,9,9,9,9,0,0,0,0,0
1414056,2,26/02/2024,632,3,2,1,2,1,1,2,43,3,9,9,0,0,0,0,0,0,0,0
1414186,2,25/02/2024,2030,6,1,7,1,1,1,1,19,3,3,9,0,0,0,0,0,0,0,0
1414186,2,25/02/2024,2030,6,1,7,1,2,1,2,47,3,3,9,0,0,0,0,0,0,0,0
1414280,1,26/02/2024,1332,3,1,1,1,1,3,2,58,3,9,0,0,0,0,0,0,0,0,0
1414291,2,25/02/2024,1842,1,1,4,1,1,1,2,24,3,9,9,0,0,0,0,0,0,0,0
1414297,2,25/02/2024,1630,3,1,1,9,1,1,2,27,3,9,9,0,0,0,0,0,0,0,0
1414304,1,25/02/2024,2100,6,1,4,1,1,3,1,33,3,9,0,0,0,0,0,0,0,0,0
1414492,1,27/02/2024,828,6,1,1,1,1,3,2,26,3,11,0,0,0,0,0,0,0,0,0
1414697,2,27/02/2024,1326,3,1,1,1,1,1,1,77,3,9,9,0,0,0,0,0,0,0,0
1414712,2,27/02/2024,1350,3,1,1,1,1,1,1,65,3,11,1,0,0,0,0,0,0,0,0
1414808,2,26/02/2024,1757,3,1,1,1,1,1,1,47,3,9,1,0,0,0,0,0,0,0,0
1414817,2,27/02/2024,1833,6,1,4,1,1,1,1,15,3,1,9,0,0,0,0,0,0,0,0
1414949,2,25/02/2024,2235,6,2,7,1,1,1,1,31,3,9,1,0,0,0,0,0,0,0,0
1415039,2,28/02/2024,755,6,2,1,1,1,1,1,27,3,9,1,0,0,0,0,0,0,0,0
1415127,2,28/02/2024,1422,6,2,1,1,1,1,1,61,2,9,1,0,0,0,0,0,0,0,0
1415154,1,28/02/2024,801,3,1,1,1,1,3,1,55,3,9,0,0,0,0,0,0,0,0,0
1415154,1,28/02/2024,801,3,1,1,1,2,3,1,11,3,9,0,0,0,0,0,0,0,0,0
1415169,2,27/02/2024,1605,6,1,1,1,1,1,1,13,2,90,1,0,0,0,0,0,0,0,0
1415359,2,29/02/2024,810,3,1,1,1,1,2,1,57,2,9,9,0,0,0,0,0,0,0,0
1415435,2,28/02/2024,1122,6,1,1,1,1,1,2,51,3,98,9,0,0,0,0,0,0,0,0
1415553,1,28/02/2024,1245,6,1,1,1,1,3,1,54,3,8,0,0,0,0,0,0,0,0,0
1415629,2,29/02/2024,2120,6,1,4,1,1,1,1,27,2,9,1,0,0,0,0,0,0,0,0
1415658,2,01/03/2024,558,3,2,4,1,1,1,1,42,3,9,20,0,0,0,0,0,0,0,0
1415658,2,01/03/2024,558,3,2,4,1,2,1,1,37,3,9,20,0,0,0,0,0,0,0,0
1415940,1,01/03/2024,1707,6,1,1,1,1,3,2,22,3,9,0,0,0,0,0,0,0,0,0
1415990,1,01/03/2024,2049,4,2,4,1,1,3,1,40,3,9,0,0,0,0,0,0,0,0,0
1416155,2,01/03/2024,1010,6,2,1,9,1,1,2,30,3,19,1,0,0,0,0,0,0,0,0
1416190,2,28/02/2024,857,6,1,1,1,1,1,2,25,2,9,1,0,0,0,0,0,0,0,0
1416199,2,01/03/2024,1230,6,2,1,2,1,1,1,23,2,9,1,0,0,0,0,0,0,0,0
1416267,1,01/03/2024,1545,6,2,1,1,1,3,1,10,3,9,0,0,0,0,0,0,0,0,0
1416280,2,29/02/2024,730,6,1,1,1,1,1,2,42,3,9,1,0,0,0,0,0,0,0,0
1416291,2,02/03/2024,1735,6,2,1,1,1,2,2,9,3,9,9,0,0,0,0,0,0,0,0
1416433,2,01/03/2024,915,3,2,1,4,1,1,1,34,3,11,1,0,0,0,0,0,0,0,0
1416442,2,02/03/2024,1440,6,2,1,2,1,1,1,32,3,9,9,0,0,0,0,0,0,0,0
