"REFERENCE_NUMBER","EASTING","NORTHING","NUMBER_OF_VEHICLES","ACCIDENT_DATE","TIME_24HR","ROAD_CLASS","ROAD_SURFACE","LIGHTING_CONDITIONS","WEATHER_CONDITIONS","CASUALTY_CLASS","CASUALTY_SEVERITY","SEX_OF_CASUALTY","AGE_OF_CASUALTY","VEHICLE_TYPE","ROAD_CLASS_CODE","ROAD_SURFACE_CODE","LIGHTING_CODE","WEATHER_CODE","CASUALTY_CLASS_CODE","CASUALTY_SEVERITY_CODE","SEX_OF_CASUALTY_CODE","AGE_OF_CASUALTY_CODE","VEHICLE_TYPE_CODE"
"21U0856","426351","433095","2","30-Jan-15","1539","B","Wet / Damp","Daylight: street lights present","Fine without high winds","Driver/Rider","Slight","Male","51","Car","4","2","1","1","","3","1","51","9"
"21U0906","438491","430216","1","30-Jan-15","1530","Unclassified","Frost / Ice","Daylight: street lights present","Fine without high winds","Pedestrian","Serious","Female","38","Car","6","4","1","1","3","2","2","38","9"
"21U0906","438491","430216","1","30-Jan-15","1530","Unclassified","Frost / Ice","Daylight: street lights present","Fine without high winds","Pedestrian","Slight","Male","8","Car","6","4","1","1","3","3","1","8","9"
"21U1696","428589","432991","2","30-Jan-15","2330","B","Wet / Damp","Darkness: street lights present and lit","Fine without high winds","Passenger","Slight","Male","49","Taxi/Private hire car","4","2","4","1","","3","1","49","8"
"21U1696","428589","432991","2","30-Jan-15","2330","B","Wet / Damp","Darkness: street lights present and lit","Fine without high winds","Passenger","Slight","Female","47","Taxi/Private hire car","4","2","4","1","","3","2","47","8"
"21V0431","430762","424534","2","31-Jan-15","857","A","Wet / Damp","Daylight: street lights present","Fine without high winds","Driver/Rider","Slight","Female","19","Car","3","2","1","1","","3","2","19","9"
"21V0431","430762","424534","2","31-Jan-15","857","A","Wet / Damp","Daylight: street lights present","Fine without high winds","Passenger","Slight","Male","28","Car","3","2","1","1","","3","1","28","9"
"21V0807","426131","439129","1","30-Jan-15","1945","Unclassified","Dry","Darkness: street lights present and lit","Fine without high winds","Passenger","Slight","Female","23","Bus or coach (17 or more passenger seats)","6","1","4","1","","3","2","23","11"
"21V0932","432036","435077","2","31-Jan-15","1532","Unclassified","Dry","Daylight: street lights present","Fine without high winds","Passenger","Slight","Male","40","Car","6","1","1","1","","3","1","40","9"
"21V0945","431170","431454","1","31-Jan-15","1328","Unclassified","Dry","Daylight: street lights present","Fine without high winds","Passenger","Serious","Male","84","Bus or coach (17 or more passenger seats)","6","1","1","1","","2","1","84","11"
"2210619","426971","426044","1","01-Feb-15","1125","Motorway","Dry","Daylight: street lights present","Fine without high winds","Driver/Rider","Serious","Male","77","Motorcycle over 500cc","1","1","1","1","","2","1","77","5"
"2210723","426309","435518","1","01-Feb-15","1255","A","Dry","Daylight: street lights present","Fine without high winds","Driver/Rider","Slight","Male","80","Car","3","1","1","1","","3","1","80","9"
"2211177","430236","433914","2","01-Feb-15","2150","Unclassified","Dry","Daylight: street lights present","Fine without high winds","Driver/Rider","Slight","Male","57","Car","6","1","1","1","","3","1","57","9"
"2211277","430093","431373","1","01-Feb-15","1850","A","Dry","Darkness: street lights present and lit","Fine without high winds","Pedestrian","Slight","Male","54","Car","3","1","4","1","3","3","1","54","9"
"2211294","430091","431324","1","01-Feb-15","1900","A","Dry","Darkness: street lights present and lit","Fine without high winds","Pedestrian","Slight","Female","18","Car","3","1","4","1","3","3","2","18","9"
"2220171","429954","436671","2","02-Feb-15","645","A","Dry","Darkness: street lights present and lit","Fine without high winds","Driver/Rider","Slight","Female","51","Car","3","1","4","1","","3","2","51","9"
"2220302","427857","436272","3","02-Feb-15","916","A","Dry","Daylight: street lights present","Fine without high winds","Driver/Rider","Slight","Male","41","Pedal cycle","3","1","1","1","","3","1","41","1"
"2220546","422495","434672","2","28-Feb-15","2100","Unclassified","Dry","Darkness: street lighting unknown","Fine without high winds","Driver/Rider","Slight","Male","21","Pedal cycle","6","1","7","1","","3","1","21","1"
"2220583","431170","440727","2","02-Feb-15","1222","A","Dry","Daylight: street lights present","Fine without high winds","Driver/Rider","Slight","Female","58","Car","3","1","1","1","","3","2","58","9"
"2220985","429780","431031","2","02-Feb-15","1600","Unclassified","Dry","Daylight: street lights present","Fine without high winds","Passenger","Slight","Female","25","Car","6","1","1","1","","3","2","25","9"
"2221365","432129","428989","2","02-Feb-15","1908","Motorway","Wet / Damp","Darkness: street lights present and lit","Fine without high winds","Driver/Rider","Slight","Female","51","Car","1","2","4","1","","3","2","51","9"
"2221365","432129","428989","2","02-Feb-15","1908","Motorway","Wet / Damp","Darkness: street lights present and lit","Fine without high winds","Passenger","Slight","Female","24","Car","1","2","4","1","","3","2","24","9"
"2221378","420954","434387","3","02-Feb-15","1915","A","Wet / Damp","Darkness: street lights present and lit","Fine without high winds","Driver/Rider","Slight","Female","25","Car","3","2","4","1","","3","2","25","9"
"2221378","420954","434387","3","02-Feb-15","1915","A","Wet / Damp","Darkness: street lights present and lit","Fine without high winds","Passenger","Slight","Female","23","Car","3","2","4","1","","3","2","23","9"
"2221378","420954","434387","3","02-Feb-15","1915","A","Wet / Damp","Darkness: street lights present and lit","Fine without high winds","Driver/Rider","Slight","Male","38","Car","3","2","4","1","","3","1","38","9"
"2230178","431396","434774","3","03-Feb-15","806","Unclassified","Dry","Daylight: street lights present","Fine without high winds","Driver/Rider","Slight","Male","24","Pedal cycle","6","1","1","1","","3","1","24","1"
"2230222","431886","435476","1","03-Feb-15","852","Unclassified","Dry","Daylight: street lights present","Fine without high winds","Pedestrian","Slight","Female","50","Car","6","1","1","1","3","3","2","50","9"
"2230528","431547","431656","2","03-Feb-15","1231","Unclassified","Dry","Daylight: street lights present","Fine without high winds","Driver/Rider","Slight","Male","20","M/cycle 50cc and under","6","1","1","1","","3","1","20","2"
"2230686","430639","434702","2","03-Feb-15","1402","A","Dry","Daylight: street lights present","Fine without high winds","Driver/Rider","Serious","Female","29","Car","3","1","1","1","","2","2","29","9"
"2230686","430639","434702","2","03-Feb-15","1402","A","Dry","Daylight: street lights present","Fine without high winds","Passenger","Slight","Female","26","Car","3","1","1","1","","3","2","26","9"
"2231452","427416","435989","2","03-Feb-15","2045","Unclassified","Dry","Darkness: street lights present and lit","Fine without high winds","Passenger","Slight","Female","21","Car","6","1","4","1","","3","2","21","9"
"2231555","436174","427827","1","03-Feb-15","2200","A","Wet / Damp","Darkness: street lights present and lit","Fine without high winds","Driver/Rider","Slight","Male","38","Motorcycle over 125cc and up to 500cc","3","2","4","1","","3","1","38","4"
"2240201","429134","432107","2","04-Feb-15","811","Unclassified","Dry","Daylight: street lights present","Fine without high winds","Driver/Rider","Slight","Female","40","Car","6","1","1","1","","3","2","40","9"
"2240349","428511","432651","2","04-Feb-15","1005","Unclassified","Dry","Daylight: street lights present","Fine without high winds","Driver/Rider","Slight","Female","41","Car","6","1","1","1","","3","2","41","9"
"2240349","428511","432651","2","04-Feb-15","1005","Unclassified","Dry","Daylight: street lights present","Fine without high winds","Passenger","Slight","Female","14","Car","6","1","1","1","","3","2","14","9"
"2240349","428511","432651","2","04-Feb-15","1005","Unclassified","Dry","Daylight: street lights present","Fine without high winds","Driver/Rider","Slight","Male","57","Car","6","1","1","1","","3","1","57","9"
"2240453","427602","431137","2","04-Feb-15","1145","A","Dry","Daylight: street lights present","Fine without high winds","Driver/Rider","Slight","Female","46","Car","3","1","1","1","","3","2","46","9"
