"REFERENCE_NUMBER","EASTING","NORTHING","NUMBER_OF_VEHICLES","ACCIDENT_DATE","TIME_24HR","ROAD_CLASS","ROAD_SURFACE","LIGHTING_CONDITIONS","WEATHER_CONDITIONS","CASUALTY_CLASS","CASUALTY_SEVERITY","SEX_OF_CASUALTY","AGE_OF_CASUALTY","VEHICLE_TYPE","ROAD_CLASS_CODE","ROAD_SURFACE_CODE","LIGHTING_CODE","WEATHER_CODE","CASUALTY_CLASS_CODE","CASUALTY_SEVERITY_CODE","SEX_OF_CASUALTY_CODE","AGE_OF_CASUALTY_CODE","VEHICLE_TYPE_CODE"
"2181280","418241","442351","2","08/01/2016","1905","A","Dry","Darkness: street lights present and lit","Fine without high winds","Driver or rider","Serious","Male","38","Motorcycle over 500cc","3","1","4","1","1","2","1","38","5"
"2191037","424993","432898","2","09/01/2016","1615","Unclassified","Dry","Darkness: street lights present and lit","Fine without high winds","Driver or rider","Slight","Female","50","Car","6","1","4","1","1","3","2","50","9"
"2CQ0870","431159","436397","2","15/01/2016","1645","Unclassified","Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Male","26","Car","6","1","1","1","1","3","1","26","9"
"2CQ0870","431159","436397","2","15/01/2016","1645","Unclassified","Dry","Daylight: street lights present","Fine without high winds","Vehicle or pillion passenger","Slight","Female","22","Car","6","1","1","1","2","3","2","22","9"
"3111091","439313","432376","2","01/01/2016","956","A","Wet / Damp","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Male","57","Pedal cycle","3","2","1","1","1","3","1","57","1"
"3111178","426994","439957","2","01/01/2016","1115","A","Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Serious","Male","59","Pedal cycle","3","1","1","1","1","2","1","59","1"
"3111395","427813","431257","1","01/01/2016","1352","Motorway","Wet / Damp","Daylight: street lights present","Fine without high winds","Driver or rider","Serious","Female","53","Car","1","2","1","1","1","2","2","53","9"
"3111981","431496","432727","2","01/01/2016","2015","Unclassified","Wet / Damp","Darkness: street lights present and lit","Raining without high winds","Vehicle or pillion passenger","Slight","Female","22","Car","6","2","4","2","2","3","2","22","9"
"3120560","431880","430498","2","02/01/2016","1110","Motorway","Wet / Damp","Daylight: street lights present","Fine without high winds","Vehicle or pillion passenger","Slight","Female","20","Car","1","2","1","1","2","3","2","20","9"
"3120872","429425","433999","1","02/01/2016","1638","A(M)","Wet / Damp","Darkness: street lights present and lit","Raining without high winds","Driver or rider","Slight","Male","22","Car","2","2","4","2","1","3","1","22","9"
"3120872","429425","433999","1","02/01/2016","1638","A(M)","Wet / Damp","Darkness: street lights present and lit","Raining without high winds","Vehicle or pillion passenger","Slight","Female","26","Car","2","2","4","2","2","3","2","26","9"
"3130442","435325","433760","5","03/01/2016","1150","Unclassified","Wet / Damp","Daylight: street lights present","Raining without high winds","Driver or rider","Slight","Male","35","Car","6","2","1","2","1","3","1","35","9"
"3130442","435325","433760","5","03/01/2016","1150","Unclassified","Wet / Damp","Daylight: street lights present","Raining without high winds","Vehicle or pillion passenger","Slight","Female","21","Car","6","2","1","2","2","3","2","21","9"
"3130442","435325","433760","5","03/01/2016","1150","Unclassified","Wet / Damp","Daylight: street lights present","Raining without high winds","Vehicle or pillion passenger","Slight","Male","28","Car","6","2","1","2","2","3","1","28","9"
"3130532","427651","433421","1","03/01/2016","1252","Unclassified","Wet / Damp","Daylight: street lights present","Raining without high winds","Pedestrian","Slight","Female","18","Taxi/Private hire car","6","2","1","2","3","3","2","18","8"
"3130769","440619","446100","1","03/01/2016","1543","A(M)","Wet / Damp","Darkness: no street lighting","Raining without high winds","Driver or rider","Slight","Female","47","Car","2","2","6","2","1","3","2","47","9"
"3130786","433130","436116","2","03/01/2016","1555","A","Wet / Damp","Darkness: street lights present and lit","Raining without high winds","Driver or rider","Slight","Female","30","Car","3","2","4","2","1","3","2","30","9"
"3130786","433130","436116","2","03/01/2016","1555","A","Wet / Damp","Darkness: street lights present and lit","Raining without high winds","Vehicle or pillion passenger","Slight","Male","8","Car","3","2","4","2","2","3","1","8","9"
"3130805","428943","433430","2","03/01/2016","1615","Unclassified","Wet / Damp","Darkness: street lights present and lit","Raining without high winds","Driver or rider","Slight","Male","39","Car","6","2","4","2","1","3","1","39","9"
"3130805","428943","433430","2","03/01/2016","1615","Unclassified","Wet / Damp","Darkness: street lights present and lit","Raining without high winds","Vehicle or pillion passenger","Slight","Female","39","Car","6","2","4","2","2","3","2","39","9"
"3130885","431884","435070","1","03/01/2016","1650","Unclassified","Wet / Damp","Darkness: street lights present and lit","Fine without high winds","Pedestrian","Slight","Male","42","Car","6","2","4","1","3","3","1","42","9"
"3140260","422045","434280","2","04/01/2016","1730","B","Wet / Damp","Darkness: street lights present and lit","Raining without high winds","Driver or rider","Slight","Male","26","Pedal cycle","4","2","4","2","1","3","1","26","1"
"3140730","443157","448516","1","04/01/2016","1413","Unclassified","Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Male","58","Motorcycle over 50cc and up to 125cc","6","1","1","1","1","3","1","58","3"
"3141054","431210","439310","2","04/01/2016","1700","A","Wet / Damp","Darkness: street lights present and lit","Raining without high winds","Driver or rider","Slight","Female","29","Car","3","2","4","2","1","3","2","29","9"
"3141054","431210","439310","2","04/01/2016","1700","A","Wet / Damp","Darkness: street lights present and lit","Raining without high winds","Driver or rider","Slight","Male","33","Taxi/Private hire car","3","2","4","2","1","3","1","33","8"
"3151110","420945","439962","2","05/01/2016","1752","B","Wet / Damp","Darkness: street lights present and lit","Raining without high winds","Driver or rider","Slight","Male","43","Pedal cycle","4","2","4","2","1","3","1","43","1"
"3151301","436574","435725","1","05/01/2016","1930","Unclassified","Wet / Damp","Daylight: street lights present","Fine without high winds","Pedestrian","Slight","Male","60","Car","6","2","1","1","3","3","1","60","9"
"3160260","432960","440281","2","06/01/2016","815","Unclassified","Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Male","52","Motorcycle over 500cc","6","1","1","1","1","3","1","52","5"
"3160311","431925","434792","1","06/01/2016","800","Unclassified","Dry","Darkness: street lights present and lit","Fine without high winds","Pedestrian","Slight","Male","33","Car","6","1","4","1","3","3","1","33","9"
"3160793","426228","431783","2","06/01/2016","1410","Unclassified","Wet / Damp","Daylight: street lights present","Raining without high winds","Driver or rider","Slight","Male","25","Pedal cycle","6","2","1","2","1","3","1","25","1"
"3161000","429741","436518","1","06/01/2016","1520","Unclassified","Wet / Damp","Darkness: street lighting unknown","Raining without high winds","Pedestrian","Slight","Female","49","Car","6","2","7","2","3","3","2","49","9"
"3161098","429959","433326","2","06/01/2016","1723","Unclassified","Dry","Darkness: street lights present and lit","Fine without high winds","Driver or rider","Slight","Male","39","Pedal cycle","6","1","4","1","1","3","1","39","1"
"3161298","428511","433054","2","06/01/2016","1355","B","Wet / Damp","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Male","27","Car","4","2","1","1","1","3","1","27","9"
"3161298","428511","433054","2","06/01/2016","1355","B","Wet / Damp","Daylight: street lights present","Fine without high winds","Vehicle or pillion passenger","Slight","Female","55","Car","4","2","1","1","2","3","2","55","9"
"3161323","430562","436939","2","06/01/2016","1919","Unclassified","Wet / Damp","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Male","72","Car","6","2","1","1","1","3","1","72","9"
"3161328","427362","433970","2","06/01/2016","1915","Unclassified","Wet / Damp","Darkness: street lights present and lit","Raining without high winds","Vehicle or pillion passenger","Slight","Male","38","Car","6","2","4","2","2","3","1","38","9"
"3170622","436173","427637","2","07/01/2016","1300","A","Dry","Daylight: street lights present","Fine without high winds","Vehicle or pillion passenger","Slight","Female","2","Car","3","1","1","1","2","3","2","2","9"
"3170622","436173","427637","2","07/01/2016","1300","A","Dry","Daylight: street lights present","Fine without high winds","Vehicle or pillion passenger","Slight","Female","28","Car","3","1","1","1","2","3","2","28","9"
"3170694","440850","434501","1","07/01/2016","1350","Motorway","Wet / Damp","Daylight: street lights present","Fine with high winds","Driver or rider","Slight","Male","43","Goods vehicle 7.5 tonnes mgw and over","1","2","1","4","1","3","1","43","21"
"3170743","431467","432679","2","07/01/2016","1435","Unclassified","Wet / Damp","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Female","44","Car","6","2","1","1","1","3","2","44","9"
"3170766","429766","433410","1","07/01/2016","1220","Unclassified","Wet / Damp","Daylight: street lights present","Raining without high winds","Vehicle or pillion passenger","Slight","Female","81","Bus or coach (17 or more passenger seats)","6","2","1","2","2","3","2","81","11"
"31S1678","429788","433491","1","28/01/2016","2219","Unclassified","Wet / Damp","Darkness: street lights present and lit","Fine without high winds","Pedestrian","Slight","Male","20","Taxi/Private hire car","6","2","4","1","3","3","1","20","8"
"31T0239","425235","432958","2","29/01/2016","740","Unclassified","Wet / Damp","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Male","18","M/cycle 50cc and under","6","2","1","1","1","3","1","18","2"
"31T0267","436483","435032","3","29/01/2016","800","Unclassified","Dry","Darkness: street lights present and lit","Fine without high winds","Driver or rider","Slight","Female","22","Car","6","1","4","1","1","3","2","22","9"
"31T0287","430535","433451","1","29/01/2016","815","Unclassified","Dry","Darkness: street lights present and lit","Unknown","Driver or rider","Slight","Male","26","Motorcycle over 50cc and up to 125cc","6","1","4","9","1","3","1","26","3"
"31T0329","427821","436511","2","28/01/2016","1940","B","Dry","Darkness: street lights present and lit","Unknown","Driver or rider","Slight","Male","47","Pedal cycle","4","1","4","9","1","3","1","47","1"
"31T0338","429810","434420","1","29/01/2016","859","A","Wet / Damp","Daylight: street lights present","Fine without high winds","Pedestrian","Slight","Female","22","Taxi/Private hire car","3","2","1","1","3","3","2","22","8"
"31T0435","424679","433610","2","29/01/2016","1007","Unclassified","Wet / Damp","Daylight: street lights present","Raining with high winds","Driver or rider","Slight","Female","29","Car","6","2","1","5","1","3","2","29","9"
"31T0591","431324","431708","2","29/01/2016","1145","A","Wet / Damp","Daylight: street lights present","Fine with high winds","Driver or rider","Slight","Female","38","Car","3","2","1","4","1","3","2","38","9"
"31T0680","428972","435484","1","27/01/2016","1529","Unclassified","Dry","Daylight: street lights present","Unknown","Pedestrian","Slight","Male","26","Car","6","1","1","9","3","3","1","26","9"
"31T1056","432945","433980","2","29/01/2016","1540","Unclassified","Dry","Daylight: street lights present","Fine with high winds","Driver or rider","Slight","Male","21","Pedal cycle","6","1","1","4","1","3","1","21","1"
"31T1234","443097","440631","4","29/01/2016","1711","A(M)","Wet / Damp","Darkness: no street lighting","Fine without high winds","Driver or rider","Slight","Female","25","Car","2","2","6","1","1","3","2","25","9"
"31T1234","443097","440631","4","29/01/2016","1711","A(M)","Wet / Damp","Darkness: no street lighting","Fine without high winds","Driver or rider","Slight","Male","41","Car","2","2","6","1","1","3","1","41","9"
"31T1234","443097","440631","4","29/01/2016","1711","A(M)","Wet / Damp","Darkness: no street lighting","Fine without high winds","Driver or rider","Slight","Male","23","Car","2","2","6","1","1","3","1","23","9"
"31T1234","443097","440631","4","29/01/2016","1711","A(M)","Wet / Damp","Darkness: no street lighting","Fine without high winds","Driver or rider","Slight","Female","24","Car","2","2","6","1","1","3","2","24","9"
"31T1394","432291","436287","2","29/01/2016","1826","Unclassified","Dry","Darkness: street lights present and lit","Unknown","Driver or rider","Slight","Male","24","Pedal cycle","6","1","4","9","1","3","1","24","1"
"31T1516","428534","437104","1","29/01/2016","1930","Unclassified","Dry","Darkness: street lights present and lit","Fine with high winds","Pedestrian","Slight","Male","70","Car","6","1","4","4","3","3","1","70","9"
"31T1712","422903","434711","2","29/01/2016","2110","B","Dry","Darkness: street lights present and lit","Unknown","Driver or rider","Slight","Male","33","Taxi/Private hire car","4","1","4","9","1","3","1","33","8"
"31U0278","426797","433071","1","30/01/2016","430","B","Dry","Darkness: street lighting unknown","Unknown","Driver or rider","Serious","Male","35","Goods vehicle 3.5 tonnes mgw and under","4","1","7","9","1","2","1","35","19"
"31U0525","422627","433537","1","30/01/2016","1040","B","Wet / Damp","Daylight: street lights present","Fine without high winds","Pedestrian","Slight","Female","81","Car","4","2","1","1","3","3","2","81","9"
"31U0881","435951","435475","2","30/01/2016","1245","A","Wet / Damp","Daylight: street lights present","Snowing with high winds","Driver or rider","Slight","Male","33","Pedal cycle","3","2","1","6","1","3","1","33","1"
"31U1291","431825","430454","1","30/01/2016","1855","Motorway","Wet / Damp","Darkness: street lights present and lit","Snowing without high winds","Driver or rider","Slight","Male","48","Car","1","2","4","3","1","3","1","48","9"
"31V0635","431404","435028","2","31/01/2016","1155","Unclassified","Wet / Damp","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Female","37","Car","6","2","1","1","1","3","2","37","9"
"31V0635","431404","435028","2","31/01/2016","1155","Unclassified","Wet / Damp","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Male","28","Car","6","2","1","1","1","3","1","28","9"
"31V0635","431404","435028","2","31/01/2016","1155","Unclassified","Wet / Damp","Daylight: street lights present","Fine without high winds","Vehicle or pillion passenger","Slight","Female","20","Car","6","2","1","1","2","3","2","20","9"
"31V0635","431404","435028","2","31/01/2016","1155","Unclassified","Wet / Damp","Daylight: street lights present","Fine without high winds","Vehicle or pillion passenger","Slight","Female","7","Car","6","2","1","1","2","3","2","7","9"
"31V0635","431404","435028","2","31/01/2016","1155","Unclassified","Wet / Damp","Daylight: street lights present","Fine without high winds","Vehicle or pillion passenger","Slight","Male","6","Car","6","2","1","1","2","3","1","6","9"
"31V0671","420275","445365","1","31/01/2016","1146","Unclassified","Wet / Damp","Daylight: street lights present","Fine without high winds","Pedestrian","Slight","Male","28","Car","6","2","1","1","3","3","1","28","9"
"31V0877","425664","439612","2","31/01/2016","1450","Unclassified","Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Male","41","Pedal cycle","6","1","1","1","1","3","1","41","1"
"31V1126","429948","436664","1","31/01/2016","1734","A","Wet / Damp","Darkness: street lights present and lit","Fine without high winds","Driver or rider","Slight","Male","64","Car","3","2","4","1","1","3","1","64","9"
"31V1251","430036","434078","1","31/01/2016","1535","Unclassified","Dry","Daylight: street lights present","Fine with high winds","Pedestrian","Slight","Male","20","Taxi/Private hire car","6","1","1","4","3","3","1","20","8"
"3210161","440272","449564","2","01/02/2016","500","Unclassified","Wet / Damp","Darkness: street lights present and lit","Fine with high winds","Driver or rider","Slight","Male","34","Car","6","2","4","4","1","3","1","34","9"
"3210421","429812","438919","2","29/01/2016","1800","A","Dry","Darkness: street lights present and lit","Unknown","Driver or rider","Slight","Female","23","Car","3","1","4","9","1","3","2","23","9"
"3210475","431026","433540","1","01/02/2016","1039","Unclassified","Wet / Damp","Daylight: street lights present","Fine without high winds","Pedestrian","Slight","Male","28","Car","6","2","1","1","3","3","1","28","9"
"3210607","435675","434795","3","01/02/2016","1205","Unclassified","Dry","Daylight: street lights present","Fine with high winds","Driver or rider","Slight","Female","52","Car","6","1","1","4","1","3","2","52","9"
"3210607","435675","434795","3","01/02/2016","1205","Unclassified","Dry","Daylight: street lights present","Fine with high winds","Driver or rider","Slight","Female","66","Car","6","1","1","4","1","3","2","66","9"
"3210942","431881","435453","1","01/02/2016","1530","Unclassified","Dry","Daylight: street lights present","Fine with high winds","Pedestrian","Slight","Female","85","Car","6","1","1","4","3","3","2","85","9"
"3210980","432858","435382","2","01/02/2016","1545","Unclassified","Dry","Daylight: street lights present","Unknown","Vehicle or pillion passenger","Slight","Male","6","Car","6","1","1","9","2","3","1","6","9"
"3210980","432858","435382","2","01/02/2016","1545","Unclassified","Dry","Daylight: street lights present","Unknown","Vehicle or pillion passenger","Slight","Female","10","Car","6","1","1","9","2","3","2","10","9"
"3211478","426743","427878","1","01/02/2016","1510","Unclassified","Dry","Daylight: street lights present","Fine without high winds","Pedestrian","Slight","Female","26","Goods vehicle 3.5 tonnes mgw and under","6","1","1","1","3","3","2","26","19"
"3220231","432173","425966","2","02/02/2016","810","Motorway","Dry","Daylight: street lights present","Fine with high winds","Driver or rider","Slight","Male","31","Car","1","1","1","4","1","3","1","31","9"
"3220493","430785","424533","2","02/02/2016","1126","Motorway","Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Female","73","Car","1","1","1","1","1","3","2","73","9"
"3221429","427896","436200","2","02/02/2016","1800","A","Wet / Damp","Darkness: street lights present and lit","Unknown","Driver or rider","Slight","Male","41","Pedal cycle","3","2","4","9","1","3","1","41","1"
"3221533","431966","435835","2","02/02/2016","2205","Unclassified","Wet / Damp","Darkness: street lights present and lit","Other","Driver or rider","Slight","Male","24","Motorcycle over 125cc and up to 500cc","6","2","4","8","1","3","1","24","4"
"3230659","429466","427604","2","03/02/2016","1306","Unclassified","Dry","Daylight: street lights present","Fine without high winds","Vehicle or pillion passenger","Slight","Female","28","Car","6","1","1","1","2","3","2","28","9"
"3170948","428638","433182","3","07/01/2016","1607","Unclassified","Dry","Darkness: street lights present and lit","Fine without high winds","Driver or rider","Slight","Female","45","Car","6","1","4","1","1","3","2","45","9"
"3170948","428638","433182","3","07/01/2016","1607","Unclassified","Dry","Darkness: street lights present and lit","Fine without high winds","Vehicle or pillion passenger","Slight","Male","21","Car","6","1","4","1","2","3","1","21","9"
"3171039","438950","431555","2","07/01/2016","1643","A","Dry","Darkness: no street lighting","Fine without high winds","Driver or rider","Slight","Female","37","Car","3","1","6","1","1","3","2","37","9"
"3171722","424108","431567","1","07/01/2016","2345","Unclassified","Wet / Damp","Darkness: no street lighting","Raining without high winds","Driver or rider","Slight","Male","26","Car","6","2","6","2","1","3","1","26","9"
"3180831","427023","424758","1","08/01/2016","1435","Unclassified","Wet / Damp","Daylight: street lights present","Fine without high winds","Pedestrian","Fatal","Male","78","Goods vehicle 7.5 tonnes mgw and over","6","2","1","1","3","1","1","78","21"
"3181079","431351","435059","2","08/01/2016","1706","A","Dry","Darkness: street lights present and lit","Fine without high winds","Driver or rider","Slight","Male","56","Motorcycle over 125cc and up to 500cc","3","1","4","1","1","3","1","56","4"
"3181260","434969","436415","1","08/01/2016","1835","Unclassified","Wet / Damp","Darkness: street lights present and lit","Fine without high winds","Pedestrian","Slight","Female","11","Car","6","2","4","1","3","3","2","11","9"
"3181333","427496","425485","2","08/01/2016","1936","A","Dry","Darkness: street lights present and lit","Fine without high winds","Driver or rider","Slight","Female","18","Car","3","1","4","1","1","3","2","18","9"
"3181333","427496","425485","2","08/01/2016","1936","A","Dry","Darkness: street lights present and lit","Fine without high winds","Vehicle or pillion passenger","Slight","Male","26","Car","3","1","4","1","2","3","1","26","9"
"3181333","427496","425485","2","08/01/2016","1936","A","Dry","Darkness: street lights present and lit","Fine without high winds","Driver or rider","Slight","Male","42","Car","3","1","4","1","1","3","1","42","9"
"3190305","420396","445354","2","09/01/2016","505","Unclassified","Wet / Damp","Darkness: street lights present and lit","Fog or mist ¿ if hazard","Driver or rider","Serious","Male","45","Pedal cycle","6","2","4","","1","2","1","45","1"
"3190541","430549","427292","2","09/01/2016","1144","Unclassified","Wet / Damp","Daylight: street lights present","Raining without high winds","Driver or rider","Slight","Male","25","Motorcycle over 50cc and up to 125cc","6","2","1","2","1","3","1","25","3"
"3190903","437677","425385","3","09/01/2016","1512","Motorway","Wet / Damp","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Female","54","Car","1","2","1","1","1","3","2","54","9"
"3190903","437677","425385","3","09/01/2016","1512","Motorway","Wet / Damp","Daylight: street lights present","Fine without high winds","Vehicle or pillion passenger","Slight","Male","55","Car","1","2","1","1","2","3","1","55","9"
"3190903","437677","425385","3","09/01/2016","1512","Motorway","Wet / Damp","Daylight: street lights present","Fine without high winds","Vehicle or pillion passenger","Slight","Female","31","Car","1","2","1","1","2","3","2","31","9"
"3191196","441059","432040","4","09/01/2016","1230","A","Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Female","40","Car","3","1","1","1","1","3","2","40","9"
"3191196","441059","432040","4","09/01/2016","1230","A","Dry","Daylight: street lights present","Fine without high winds","Vehicle or pillion passenger","Slight","Male","15","Car","3","1","1","1","2","3","1","15","9"
"3191196","441059","432040","4","09/01/2016","1230","A","Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Female","30","Car","3","1","1","1","1","3","2","30","9"
"3191206","430876","434256","2","09/01/2016","1810","A","Wet / Damp","Darkness: street lights present and lit","Raining without high winds","Driver or rider","Slight","Male","23","Car","3","2","4","2","1","3","1","23","9"
"3191206","430876","434256","2","09/01/2016","1810","A","Wet / Damp","Darkness: street lights present and lit","Raining without high winds","Driver or rider","Slight","Female","29","Car","3","2","4","2","1","3","2","29","9"
"3191223","427527","434393","1","09/01/2016","1755","Unclassified","Wet / Damp","Darkness: street lights present and lit","Raining without high winds","Pedestrian","Serious","Female","60","Car","6","2","4","2","3","2","2","60","9"
"3191315","426474","428544","1","09/01/2016","1930","A","Wet / Damp","Darkness: street lights present and lit","Raining without high winds","Pedestrian","Slight","Female","47","Car","3","2","4","2","3","3","2","47","9"
"3191376","429199","431548","1","09/01/2016","2013","Unclassified","Dry","Darkness: street lights present and lit","Fine without high winds","Pedestrian","Slight","Male","63","Car","6","1","4","1","3","3","1","63","9"
"31A0692","427379","438571","4","10/01/2016","1330","A","Wet / Damp","Daylight: street lights present","Fine with high winds","Driver or rider","Slight","Female","29","Car","3","2","1","4","1","3","2","29","9"
"31A0692","427379","438571","4","10/01/2016","1330","A","Wet / Damp","Daylight: street lights present","Fine with high winds","Vehicle or pillion passenger","Slight","Male","6","Car","3","2","1","4","2","3","1","6","9"
"31A0736","420319","445361","2","10/01/2016","1400","Unclassified","Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Female","80","Car","6","1","1","1","1","3","2","80","9"
"31B0226","431554","430540","2","11/01/2016","814","Motorway","Wet / Damp","Daylight: street lights present","Fine without high winds","Vehicle or pillion passenger","Slight","Male","57","Motorcycle over 500cc","1","2","1","1","2","3","1","57","5"
"31B0246","427569","434540","2","11/01/2016","740","A","Wet / Damp","Daylight: street lights present","Fine without high winds","Driver or rider","Serious","Male","36","Pedal cycle","3","2","1","1","1","2","1","36","1"
"31B0266","431661","437523","1","11/01/2016","853","Unclassified","Wet / Damp","Daylight: street lights present","Fine without high winds","Pedestrian","Slight","Female","49","Taxi/Private hire car","6","2","1","1","3","3","2","49","8"
"31B0488","424994","432563","2","11/01/2016","1140","Unclassified","Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Serious","Female","80","Car","6","1","1","1","1","2","2","80","9"
"31B1060","429933","432767","4","11/01/2016","1736","A","Wet / Damp","Darkness: street lights present and lit","Fine without high winds","Driver or rider","Slight","Male","60","Car","3","2","4","1","1","3","1","60","9"
"31B1310","428473","434341","2","11/01/2016","2005","Unclassified","Wet / Damp","Darkness: street lights present and lit","Fine without high winds","Driver or rider","Slight","Male","29","Motorcycle over 50cc and up to 125cc","6","2","4","1","1","3","1","29","3"
"31C0236","427127","434793","2","12/01/2016","905","A","Wet / Damp","Daylight: street lights present","Fine without high winds","Driver or rider","Serious","Male","45","Pedal cycle","3","2","1","1","1","2","1","45","1"
"31D0289","430237","433264","1","07/01/2016","2155","Unclassified","Dry","Darkness: street lights present and lit","Fine without high winds","Pedestrian","Slight","Male","47","Car","6","1","4","1","3","3","1","47","9"
"31D0487","426639","433017","2","13/01/2016","1200","Unclassified","Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Female","54","Car","6","1","1","1","1","3","2","54","9"
"31D0503","426060","431588","2","12/07/2016","800","A","Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Serious","Male","51","Pedal cycle","3","1","1","1","1","2","1","51","1"
"31D0885","431529","433104","1","13/01/2016","1510","Unclassified","Dry","Daylight: street lights present","Fine without high winds","Pedestrian","Slight","Male","11","Car","6","1","1","1","3","3","1","11","9"
"31D1135","436642","425938","3","13/01/2016","1720","Motorway","Wet / Damp","Darkness: no street lighting","Fine without high winds","Driver or rider","Slight","Male","40","Car","1","2","6","1","1","3","1","40","9"
"31D1135","436642","425938","3","13/01/2016","1720","Motorway","Wet / Damp","Darkness: no street lighting","Fine without high winds","Driver or rider","Slight","Male","22","Car","1","2","6","1","1","3","1","22","9"
"31D1322","428460","431348","2","13/01/2016","1850","A","Wet / Damp","Darkness: street lights present and lit","Raining without high winds","Vehicle or pillion passenger","Serious","Male","20","Car","3","2","4","2","2","2","1","20","9"
"31D1322","428460","431348","2","13/01/2016","1850","A","Wet / Damp","Darkness: street lights present and lit","Raining without high winds","Vehicle or pillion passenger","Slight","Male","20","Car","3","2","4","2","2","3","1","20","9"
"31D1322","428460","431348","2","13/01/2016","1850","A","Wet / Damp","Darkness: street lights present and lit","Raining without high winds","Driver or rider","Slight","Male","33","Car","3","2","4","2","1","3","1","33","9"
"31E0257","425976","427855","3","14/01/2016","844","Unclassified","Frost / Ice","Daylight: street lights present","Snowing with high winds","Driver or rider","Slight","Male","30","Car","6","4","1","6","1","3","1","30","9"
"31E0257","425976","427855","3","14/01/2016","844","Unclassified","Frost / Ice","Daylight: street lights present","Snowing with high winds","Driver or rider","Slight","Female","35","Car","6","4","1","6","1","3","2","35","9"
"31E0436","430113","434139","1","13/01/2016","1705","Unclassified","Dry","Darkness: street lights present and lit","Fine without high winds","Pedestrian","Slight","Female","30","Car","6","1","4","1","3","3","2","30","9"
"31E0606","433391","434055","1","14/01/2016","1245","A","Dry","Daylight: street lights present","Fine without high winds","Pedestrian","Slight","Male","20","Car","3","1","1","1","3","3","1","20","9"
"31E0658","421753","432698","2","14/01/2016","1334","Unclassified","Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Female","62","Car","6","1","1","1","1","3","2","62","9"
"31E0963","432820","432033","1","14/01/2016","1623","Unclassified","Wet / Damp","Darkness: street lights present and lit","Fine without high winds","Driver or rider","Slight","Male","36","Car","6","2","4","1","1","3","1","36","9"
"31E0981","435033","434695","2","14/01/2016","1645","A","Dry","Darkness: street lights present and lit","Fine without high winds","Driver or rider","Serious","Male","68","Car","3","1","4","1","1","2","1","68","9"
"31E1099","432287","434644","2","14/01/2016","1745","Unclassified","Dry","Darkness: street lights present and lit","Fine without high winds","Driver or rider","Slight","Male","27","Car","6","1","4","1","1","3","1","27","9"
"31E1099","432287","434644","2","14/01/2016","1745","Unclassified","Dry","Darkness: street lights present and lit","Fine without high winds","Vehicle or pillion passenger","Slight","Female","21","Car","6","1","4","1","2","3","2","21","9"
"31F0333","420214","445629","2","14/01/2016","1215","Unclassified","Wet / Damp","Daylight: street lights present","Raining without high winds","Driver or rider","Slight","Male","52","Pedal cycle","6","2","1","2","1","3","1","52","1"
"31F0855","429145","431748","1","15/01/2016","1442","Unclassified","Wet / Damp","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Male","57","Pedal cycle","6","2","1","1","1","3","1","57","1"
"31F0855","429145","431748","1","15/01/2016","1442","Unclassified","Wet / Damp","Daylight: street lights present","Fine without high winds","Pedestrian","Slight","Male","26","Pedal cycle","6","2","1","1","3","3","1","26","1"
"31F1081","424569","434444","1","15/01/2016","1650","Unclassified","Frost / Ice","Darkness: street lights present and lit","Fine without high winds","Driver or rider","Slight","Female","17","M/cycle 50cc and under","6","4","4","1","1","3","2","17","2"
"31F1111","431874","435948","2","15/01/2016","1700","B","Wet / Damp","Darkness: street lights present and lit","Raining without high winds","Driver or rider","Slight","Female","31","Car","4","2","4","2","1","3","2","31","9"
"31F1272","432061","435963","2","15/01/2016","1837","Unclassified","Wet / Damp","Darkness: street lights present and lit","Fine without high winds","Driver or rider","Slight","Male","37","Car","6","2","4","1","1","3","1","37","9"
"31F1687","424982","432677","2","15/01/2016","2216","Unclassified","Wet / Damp","Daylight: street lights present","Raining without high winds","Vehicle or pillion passenger","Serious","Female","26","Car","6","2","1","2","2","2","2","26","9"
