Reference Number,Number of vehicles,Date,Time,Road class,Road surface description,Lighting conditions,Weather conditions,Casualty number,Casualty Class,Sex of Casualty,Age of Casualty,Casualty Severity,Type of vehicle 1,Type of vehicle 2,Type of vehicle 3,Type of vehicle 4,Type of vehicle 5,Type of vehicle 6,Type of vehicle 7,Type of vehicle 8,Type of vehicle 9,Type of vehicle 10
1032515,2,01/04/2021,0800,3,1,1,1,1,1,1,70,3,19,9,0,0,0,0,0,0,0,0
1032518,2,01/04/2021,1200,6,1,1,1,1,1,1,80,3,9,9,0,0,0,0,0,0,0,0
1032525,1,01/04/2021,1700,6,1,1,1,1,3,1,14,3,9,0,0,0,0,0,0,0,0,0
1032718,2,02/04/2021,1730,6,1,1,1,1,1,1,24,3,8,3,0,0,0,0,0,0,0,0
1033492,2,07/04/2021,1420,3,1,1,1,1,1,2,23,2,9,9,0,0,0,0,0,0,0,0
1033492,2,07/04/2021,1420,3,1,1,1,2,1,2,21,3,9,9,0,0,0,0,0,0,0,0
1033876,3,08/04/2021,1256,4,1,1,1,1,1,1,25,3,9,9,9,0,0,0,0,0,0,0
1033876,3,08/04/2021,1256,4,1,1,1,2,1,1,30,3,9,9,9,0,0,0,0,0,0,0
1033887,1,27/03/2021,2330,6,2,4,1,1,2,2,49,2,9,0,0,0,0,0,0,0,0,0
1034326,2,10/04/2021,1247,3,2,1,2,1,2,1,7,2,9,9,0,0,0,0,0,0,0,0
1034334,3,09/04/2021,2144,6,1,4,1,1,1,1,19,3,9,9,9,0,0,0,0,0,0,0
1034340,2,10/04/2021,1652,4,1,1,2,1,2,2,21,3,9,9,0,0,0,0,0,0,0,0
1034340,2,10/04/2021,1652,4,1,1,2,2,1,1,22,3,9,9,0,0,0,0,0,0,0,0
1034343,2,10/04/2021,1650,6,1,1,1,1,1,1,42,3,1,9,0,0,0,0,0,0,0,0
1034363,2,10/04/2021,0238,1,3,4,3,1,1,1,60,2,9,19,0,0,0,0,0,0,0,0
1034363,2,10/04/2021,0238,1,3,4,3,2,1,1,21,3,9,19,0,0,0,0,0,0,0,0
1034451,2,11/04/2021,1317,6,1,1,1,1,3,1,18,3,9,9,0,0,0,0,0,0,0,0
1034453,2,11/04/2021,1401,4,1,1,1,1,1,1,34,3,2,9,0,0,0,0,0,0,0,0
1034494,2,11/04/2021,1806,6,2,1,3,1,1,1,16,3,2,9,0,0,0,0,0,0,0,0
1034548,2,12/04/2021,0810,3,1,1,1,1,1,2,46,2,9,1,0,0,0,0,0,0,0,0
1034759,2,12/04/2021,1315,3,1,1,1,1,1,1,35,3,9,9,0,0,0,0,0,0,0,0
1034781,2,12/04/2021,1333,3,1,1,1,1,1,1,13,3,23,19,0,0,0,0,0,0,0,0
1034781,2,12/04/2021,1333,3,1,1,1,2,2,1,14,3,23,19,0,0,0,0,0,0,0,0
1034849,6,12/04/2021,1552,4,1,1,1,1,1,2,70,2,9,9,9,19,9,90,0,0,0,0
1034849,6,12/04/2021,1552,4,1,1,1,2,1,2,58,2,9,9,9,19,9,90,0,0,0,0
1034864,2,12/04/2021,2232,6,1,4,1,1,1,1,22,3,9,1,0,0,0,0,0,0,0,0
1035165,2,13/04/2021,1030,3,1,1,1,1,1,1,56,3,9,3,0,0,0,0,0,0,0,0
1035301,2,13/04/2021,1620,6,1,1,1,1,1,1,25,3,2,9,0,0,0,0,0,0,0,0
1035336,1,13/04/2021,1518,3,2,1,2,1,3,2,11,2,9,0,0,0,0,0,0,0,0,0
1035616,2,14/04/2021,1230,3,1,1,1,1,1,1,41,3,9,1,0,0,0,0,0,0,0,0
1035663,1,14/04/2021,1747,3,1,1,1,1,3,2,19,2,11,0,0,0,0,0,0,0,0,0
1035668,1,14/04/2021,1835,3,1,1,1,1,3,1,72,1,9,0,0,0,0,0,0,0,0,0
1035679,1,14/04/2021,1625,6,1,1,1,1,3,1,13,2,9,0,0,0,0,0,0,0,0,0
1036032,1,14/04/2021,2135,6,1,1,1,1,3,2,37,3,9,0,0,0,0,0,0,0,0,0
1036032,1,14/04/2021,2135,6,1,1,1,2,3,1,18,3,9,0,0,0,0,0,0,0,0,0
1036223,2,15/04/2021,1719,6,1,1,1,1,1,1,19,3,9,1,0,0,0,0,0,0,0,0
1036320,3,14/04/2021,0830,3,1,1,1,1,1,1,45,3,11,9,9,0,0,0,0,0,0,0
1036332,2,16/04/2021,1800,3,1,1,1,1,1,1,86,3,22,9,0,0,0,0,0,0,0,0
1036491,2,17/04/2021,1615,4,1,1,1,1,1,1,67,3,9,9,0,0,0,0,0,0,0,0
1036537,1,17/04/2021,2030,4,1,4,1,1,3,1,30,3,11,0,0,0,0,0,0,0,0,0
1036562,4,17/04/2021,1445,3,1,1,1,1,1,2,51,2,19,9,90,9,0,0,0,0,0,0
1036588,3,18/04/2021,1025,6,1,1,1,1,1,1,69,2,20,9,9,0,0,0,0,0,0,0
1036606,2,18/04/2021,1300,3,1,1,1,1,1,1,72,3,9,9,0,0,0,0,0,0,0,0
1036606,2,18/04/2021,1300,3,1,1,1,2,1,2,57,3,9,9,0,0,0,0,0,0,0,0
1036857,1,19/04/2021,0743,6,1,1,1,1,3,2,82,2,1,0,0,0,0,0,0,0,0,0
1037002,2,19/04/2021,1608,3,1,1,1,1,1,1,35,2,9,9,0,0,0,0,0,0,0,0
1037007,2,19/04/2021,1605,3,1,1,1,1,2,2,14,3,9,9,0,0,0,0,0,0,0,0
1037044,1,04/04/2021,1537,6,1,1,1,1,3,2,51,3,9,0,0,0,0,0,0,0,0,0
1037090,2,09/03/2021,0613,3,1,1,1,1,2,2,54,2,9,11,0,0,0,0,0,0,0,0
1037095,1,19/04/2021,0752,3,1,1,1,1,3,2,11,3,9,0,0,0,0,0,0,0,0,0
1037602,2,21/04/2021,0835,1,1,1,1,1,1,1,23,3,9,19,0,0,0,0,0,0,0,0
1037683,2,21/04/2021,0735,4,1,1,1,1,1,1,19,3,19,9,0,0,0,0,0,0,0,0
1037741,2,16/04/2021,2000,3,1,1,1,1,1,1,20,3,9,1,0,0,0,0,0,0,0,0
1037743,2,21/04/2021,0835,3,1,1,8,1,1,2,30,3,9,9,0,0,0,0,0,0,0,0
1037812,2,21/04/2021,1229,6,1,1,1,1,1,1,25,3,9,9,0,0,0,0,0,0,0,0
1037842,2,20/04/2021,1630,6,1,1,1,1,1,2,38,3,9,9,0,0,0,0,0,0,0,0
1037857,2,21/04/2021,1725,6,1,1,1,1,1,1,39,3,9,1,0,0,0,0,0,0,0,0
1038071,2,21/02/2021,1915,6,1,1,1,1,1,2,40,3,9,19,0,0,0,0,0,0,0,0
1038222,3,22/04/2021,1701,3,1,1,1,1,1,1,52,3,9,9,9,0,0,0,0,0,0,0
1038222,3,22/04/2021,1701,3,1,1,1,2,1,1,27,3,9,9,9,0,0,0,0,0,0,0
1038222,3,22/04/2021,1701,3,1,1,1,3,2,2,31,3,9,9,9,0,0,0,0,0,0,0
1038239,3,22/04/2021,1713,6,1,1,1,1,1,1,17,2,3,9,9,0,0,0,0,0,0,0
1038260,1,22/04/2021,2211,3,1,4,1,1,3,1,45,2,9,0,0,0,0,0,0,0,0,0
1038263,3,18/04/2021,1319,6,1,1,1,1,1,1,19,3,9,9,9,0,0,0,0,0,0,0
1038321,2,23/04/2021,0637,3,1,1,1,1,1,2,48,3,9,9,0,0,0,0,0,0,0,0
1038433,1,23/04/2021,1000,6,1,1,1,1,1,1,40,2,9,0,0,0,0,0,0,0,0,0
1038446,2,23/04/2021,1220,3,1,1,1,1,2,2,4,2,9,19,0,0,0,0,0,0,0,0
1038468,2,23/04/2021,0929,6,1,1,1,1,1,1,16,2,97,9,0,0,0,0,0,0,0,0
1038485,1,19/04/2021,0745,6,1,1,1,1,1,1,27,3,1,0,0,0,0,0,0,0,0,0
1038515,1,21/04/2021,1115,6,1,1,1,1,3,1,76,2,8,0,0,0,0,0,0,0,0,0
1038537,2,23/04/2021,1508,3,1,1,1,1,1,1,60,3,9,9,0,0,0,0,0,0,0,0
1038537,2,23/04/2021,1508,3,1,1,1,2,1,2,60,3,9,9,0,0,0,0,0,0,0,0
1038582,2,23/04/2021,1655,6,1,1,1,1,1,1,12,3,90,9,0,0,0,0,0,0,0,0
1038749,2,24/04/2021,1000,3,1,1,1,1,1,1,51,3,9,9,0,0,0,0,0,0,0,0
1038760,1,24/04/2021,1240,6,1,1,1,1,2,1,4,3,9,0,0,0,0,0,0,0,0,0
1038760,1,24/04/2021,1240,6,1,1,1,2,2,2,1,3,9,0,0,0,0,0,0,0,0,0
1038760,1,24/04/2021,1240,6,1,1,1,3,2,1,1,3,9,0,0,0,0,0,0,0,0,0
1038760,1,24/04/2021,1240,6,1,1,1,4,1,2,36,3,9,0,0,0,0,0,0,0,0,0
1038777,2,24/04/2021,1602,1,1,1,1,1,1,1,39,3,9,9,0,0,0,0,0,0,0,0
1038810,2,24/04/2021,1715,6,1,1,1,1,1,1,74,2,4,9,0,0,0,0,0,0,0,0
1038830,2,24/04/2021,1926,3,1,1,1,1,1,2,41,2,9,9,0,0,0,0,0,0,0,0
1038830,2,24/04/2021,1926,3,1,1,1,2,1,1,29,2,9,9,0,0,0,0,0,0,0,0
1038839,4,24/04/2021,2022,6,1,1,8,1,2,2,19,3,9,9,9,9,0,0,0,0,0,0
1038839,4,24/04/2021,2022,6,1,1,8,2,2,2,17,3,9,9,9,9,0,0,0,0,0,0
1038865,1,24/04/2021,1425,6,1,1,1,1,3,1,29,3,9,0,0,0,0,0,0,0,0,0
1038881,1,25/04/2021,0849,6,1,1,1,1,1,1,52,3,9,0,0,0,0,0,0,0,0,0
1038887,1,13/04/2021,1135,6,1,1,1,1,3,2,5,2,9,0,0,0,0,0,0,0,0,0
