Reference Number,Number of vehicles,Date,Time,Road class,Road surface description,Lighting conditions,Weather conditions,Casualty number,Casualty Class,Sex of Casualty,Age of Casualty,Casualty Severity,Type of vehicle 1,Type of vehicle 2,Type of vehicle 3,Type of vehicle 4,Type of vehicle 5,Type of vehicle 6,Type of vehicle 7,Type of vehicle 8,Type of vehicle 9,Type of vehicle 10
1393755,2,01/01/2024,2345,3,2,4,8,1,1,1,52,3,9,9,0,0,0,0,0,0,0,0
1393755,2,01/01/2024,2345,3,2,4,8,2,2,1,29,3,9,9,0,0,0,0,0,0,0,0
1393903,1,01/01/2024,0630,6,1,7,9,1,2,2,24,3,8,0,0,0,0,0,0,0,0,0
1394041,1,02/01/2024,1601,6,2,4,2,1,1,1,22,2,9,0,0,0,0,0,0,0,0,0
1394041,1,02/01/2024,1601,6,2,4,2,2,2,1,22,3,9,0,0,0,0,0,0,0,0,0
1394041,1,02/01/2024,1601,6,2,4,2,3,2,1,21,3,9,0,0,0,0,0,0,0,0,0
1394055,2,02/01/2024,1337,6,2,1,2,1,1,1,74,3,9,9,0,0,0,0,0,0,0,0
1394055,2,02/01/2024,1337,6,2,1,2,2,1,1,27,3,9,9,0,0,0,0,0,0,0,0
1394055,2,02/01/2024,1337,6,2,1,2,3,2,1,25,3,9,9,0,0,0,0,0,0,0,0
1394055,2,02/01/2024,1337,6,2,1,2,4,2,2,72,3,9,9,0,0,0,0,0,0,0,0
1394055,2,02/01/2024,1337,6,2,1,2,5,2,2,74,3,9,9,0,0,0,0,0,0,0,0
1394076,2,02/01/2024,1715,3,2,4,2,1,1,1,57,2,9,1,0,0,0,0,0,0,0,0
1394504,2,03/01/2024,1915,2,2,4,1,1,1,1,27,2,9,9,0,0,0,0,0,0,0,0
1394867,4,04/01/2024,1221,6,2,1,1,1,2,1,17,2,3,9,19,11,0,0,0,0,0,0
1394867,4,04/01/2024,1221,6,2,1,1,2,1,1,15,2,3,9,19,11,0,0,0,0,0,0
1394910,2,03/01/2024,1848,6,2,4,1,1,1,1,34,2,9,5,0,0,0,0,0,0,0,0
1394929,2,03/01/2024,2123,6,2,4,1,1,2,2,31,3,9,9,0,0,0,0,0,0,0,0
1395274,2,05/01/2024,0035,6,2,4,1,1,2,1,25,2,9,9,0,0,0,0,0,0,0,0
1395274,2,05/01/2024,0035,6,2,4,1,2,1,1,27,2,9,9,0,0,0,0,0,0,0,0
1395382,1,06/01/2024,1025,4,2,1,1,1,1,1,19,3,9,0,0,0,0,0,0,0,0,0
1395382,1,06/01/2024,1025,4,2,1,1,2,2,1,19,3,9,0,0,0,0,0,0,0,0,0
1395386,2,06/01/2024,1054,6,2,1,1,1,1,2,24,3,9,1,0,0,0,0,0,0,0,0
1395396,2,05/01/2024,2355,1,2,4,1,1,1,2,23,3,9,9,0,0,0,0,0,0,0,0
