Reference Number,Number of vehicles,Date,Time,Road class,Road surface description,Lighting conditions,Weather conditions,Casualty number,Casualty Class,Sex of Casualty,Age of Casualty,Casualty Severity,Type of vehicle 1,Type of vehicle 2,Type of vehicle 3,Type of vehicle 4,Type of vehicle 5,Type of vehicle 6,Type of vehicle 7,Type of vehicle 8,Type of vehicle 9,Type of vehicle 10
1264266,2,17/01/2023,0937,6,2,1,1,1,1,1,42,3,9,9,0,0,0,0,0,0,0,0
1264492,2,17/01/2023,1245,3,1,1,1,1,1,1,31,3,9,9,0,0,0,0,0,0,0,0
1264492,2,17/01/2023,1245,3,1,1,1,2,2,1,26,3,9,9,0,0,0,0,0,0,0,0
1264590,3,16/01/2023,1831,3,1,4,1,1,1,2,33,3,9,9,9,0,0,0,0,0,0,0
1264590,3,16/01/2023,1831,3,1,4,1,2,2,1,15,3,9,9,9,0,0,0,0,0,0,0
1264817,2,17/01/2023,0800,6,2,1,1,1,1,1,27,2,19,1,0,0,0,0,0,0,0,0
1265025,3,18/01/2023,1413,3,1,1,8,1,1,2,38,2,9,9,9,0,0,0,0,0,0,0
1265049,1,18/01/2023,1330,6,1,1,1,1,1,2,75,2,9,0,0,0,0,0,0,0,0,0
1265147,2,18/01/2023,1542,6,2,1,1,1,1,1,26,3,9,9,0,0,0,0,0,0,0,0
1265147,2,18/01/2023,1542,6,2,1,1,2,1,1,45,2,9,9,0,0,0,0,0,0,0,0
1265241,2,19/01/2023,0813,3,4,1,1,1,1,1,29,3,9,1,0,0,0,0,0,0,0,0
1265324,1,18/01/2023,1036,6,1,1,9,1,3,1,34,3,9,0,0,0,0,0,0,0,0,0
1265413,2,19/01/2023,0630,6,4,4,8,1,1,1,39,2,9,1,0,0,0,0,0,0,0,0
1265441,3,19/01/2023,0959,2,1,1,1,1,1,1,42,3,11,90,90,0,0,0,0,0,0,0
1265453,2,19/01/2023,0845,3,2,1,1,1,1,2,47,3,9,9,0,0,0,0,0,0,0,0
1265669,2,19/01/2023,1515,3,4,1,4,1,1,1,59,3,3,9,0,0,0,0,0,0,0,0
1265710,2,19/01/2023,2007,4,2,4,8,1,1,2,27,3,9,9,0,0,0,0,0,0,0,0
1265728,2,17/01/2023,2004,1,1,4,1,1,1,2,60,3,9,21,0,0,0,0,0,0,0,0
1265825,1,20/01/2023,0755,3,1,1,1,1,3,1,14,2,19,0,0,0,0,0,0,0,0,0
1265897,2,20/01/2023,1015,3,1,1,1,1,1,2,47,3,9,9,0,0,0,0,0,0,0,0
1266044,2,19/01/2023,1725,1,1,4,1,1,1,2,27,3,9,21,0,0,0,0,0,0,0,0
1266116,2,20/01/2023,1617,3,2,4,1,1,1,2,21,2,9,9,0,0,0,0,0,0,0,0
1266116,2,20/01/2023,1617,3,2,4,1,2,2,2,73,3,9,9,0,0,0,0,0,0,0,0
